Artifact ID,Folder,Source File,Stage,Step,Artifact Group,Artifact Type,Source,Transmission Mode,Artifact Format,Task,Dependencies
1A,static/vendors/,farminghamstudy_baseline_no_time - farminghamstudy_baseline.csv,Preparation,Data,Data Properties,Initial Dataset,Data,Boundry Crossing/H-M,Tensor,Steering/Directing,null
1B,static/vendors/data_jsons/oversight_processes/,requirements.json,Preparation,Data,Oversight Processes,Requirements Document,Organizational Process/integrated,Boundry Crossing/H-M,Report - Static ,Steering/Directing,null
2A,static/vendors/data_jsons/analysis_properties/,current_analysis_outcome.json,Preparation,Goal,Analysis Properties,Goal,Human/Intent,Boundry Crossing/H-M,Specification (Component),Steering/Directing,1B
2B,static/vendors/data_jsons/model_properties/,current_analysis_input.json,Preparation,Goal,Model Properties,Initial Model Specification,"autoML process/structure,system/input",Boundry Crossing/H-M,Specification,Steering/Directing,1B
3A,null,Preparation,Profile,null,null,null,null,null,null,null
4A,null,Preparation,Wrangling,User Action Properties,Interaction Sequences,Organizational Process/integrated,Boundry Crossing/M-H,"multi-value/network,specification/visualization","informing/provanance,governing/auditing",1A
4B,null,Preparation,Wrangling,Computational Processes,Data Change Graph,Organizational Process/integrated,Boundry Crossing/M-H,"multi-value/network,specification/visualization","informing/provanance,governing/auditing","1A,4A"
4C,static/vendors/data_jsons/model_properties/,current_analysis_input.json,Preparation,Wrangling,Data Properties,Cleaning Transformations,"data/derived,system/processes",Boundry Crossing/H-M,"multi-value/tensor,specification/visualization",Steering,4A
5A,static/vendors/data_jsons/automated_reporting_processes/,insights.json,Analysis,Exploration,Automated Reporting,Automated Insights,system/prompt,Boundry Crossing/M-H,"multi-value/list,specification/visualization",informing/curating,1A
5B,null,,Analysis,Exploration,Interface Components,Bookmarks,human/intent,Non-Boundary/H-H,specification/visualization,sharing/distributed,5A
6A,"static/vendors/data_jsons/model_properties/","current_analysis_input.json,input_profile.json",Analysis,Machine Learning,Model Properties,Initial Model Specification,autoML process/strucutre,Boundry Crossing/H-M,"specification/workflow,specification/visualization","informing/descriptive,steering/directing",2A
6B,null,,Analysis,Machine Learning,Data Properties,Dataset Splits,"data/derived,system/input",Boundry Crossing/H-M,"multi-value/tensor,specification/visualization",Steering/Directing,1A
6C,static/vendors/data_jsons/model_properties/,train_validation_metrics.json,Analysis,Machine Learning,Model Properties,Model Fit Metrics,"autoML process/metric,system/prompt",Boundry Crossing/M-H,"multi-value/list,specification/visualization",informing/descriptive,3A
6D,static/vendors/data_jsons/model_properties/,train_validation_metrics.json,Analysis,Machine Learning,Model Properties,Model Performance Metrics,"autoML process/metric,system/prompt",Boundry Crossing/M-H,"single-value/number,specification/visualization",informing/descriptive,"3A,4A"
6E,static/vendors/data_jsons/model_properties/,correlations.json,Analysis,Machine Learning,Model Properties,Feature Correlation,data/derived,Boundry Crossing/M-H,"multi-value/list,specification/visualization",informing/explanatory,1C
6F,static/vendors/data_jsons/model_properties/,factors.json,Analysis,Machine Learning,Model Properties,Important Features,"autoML process/metric,system/prompt",Boundry Crossing/M-H,"multi-value/list,specification/visualization",informing/explanatory,"1C,3A"
6G,static/vendors/data_jsons/interface_components,,Analysis,Machine Learning,Interface Components,Model Dashboard,"autoML process/metric,system/process",Boundry Crossing/M-H,"multi-value/list,specification/visualization,report/interactive","informing/descriptive,exploring/targeted","6A,6C,6D,6E,6F"
6H,static/vendors/data_jsons/interface_components,,Analysis,Machine Learning,Interface Components,Model Customization Interactions,"autoML process/structure,system/process",Boundry Crossing/H-M,"multi-value/list,specification/visualization,report/interactive","informing/descriptive,exploring/targeted","6A,6B,6C,6D,6E"
7A,static/vendors/data_jsons/oversight_processes/,current_analysis_admin.json,Deployment,Deploy,Oversight Processes,Analyst Info,"human/persona,system/input","Boundry Crossing/H-M,Non-Boundary/H-H","single-value/textual,specification/visualization","informing/descriptive,governing/assigning",2A
7B,null,,Deployment,Deploy,Oversight Processes,Approver Info,"human/persona,system/input","Boundry Crossing/H-M,Non-Boundary/H-H","single-value/textual,specification/visualization",governing/authorization,1B
7C,null,,Deployment,Deploy,Verification Processes,Alerts,system/prompt,Boundry Crossing/M-H,"single-value/textual,report/static","informing/curative,informing/comparative","6A,6B,6C,6D,6E"
8A,static/vendors/data_jsons/oversight_processes/,story_histories.json,Deployment,Monitor,Oversight Processes,Analysis History,autoML process/result,Boundry Crossing/M-H,"single-value/textual,report/static","informing/provenance,sharing/distributed",null
9A,static/vendors/,Farmingham-Study-Generated-Insights.pdf,Communication,Dissemination,Automated Reporting,Static Report,autoML process/result,Boundry Crossing/M-H,"single-value/textual,report/static","informing/descriptive,sharing/distributed",6G
10A,null,,Communication,Feedback,Interface Components,Markup,"human/intent,system/prompt",Non-Boundary/H-H,"single-value/textual,report/static","sharing/targeted,steering",9A
11A,null,,Cross Process Artifacts,null,User Action Properties,Behavior Graph,organizational process/integrated,Boundry Crossing/H-M,"single-value/textual,report/interactive","informing/provenance,governing/auditing","4A,6H,UI"
